"brand_search","food_code","product_name","maker","category_1","category_3","serving_size","calories","protein_g","sugar_g","sodium_mg","saturated_fat_g","report_number","updated_at"
"비비고","P120-100060000-0017","비비고 삼치구이","씨제이씨푸드(주)","수산가공식품류","해당없음","100g","158.000","21.67","0.00","517.000","2.50","19870275001525","2026-05-07"
"비비고","P123-205020300-0601","비비고 새우계란죽","씨제이제일제당(주) 진천 BLOSSOM CAMPUS 3동","즉석식품류","즉석조리식품","100g","71.00","2.50","0.36","211.000","0.46","2019045020841","2026-05-07"
"비비고","P123-302030100-0315","비비고 새우왕교자","씨제이제일제당㈜","즉석식품류","만두","100g","179.000","7.62","2.86","435.000","2.54","19870190051559","2026-05-07"
"비비고","P114-101010200-0029","비비고 석박지를 넣은 포기김치","씨제이제일제당(주)진천 BLOSSOM CAMPUS 4동","절임류 또는 조림류","김치","100g","30.00","2.00","4.00","660.000","0.00","2019045020716","2026-05-07"
"비비고","P123-207020300-0380","비비고 설렁탕","씨제이제일제당㈜","즉석식품류","즉석조리식품","100g","16.00","1.80","0.00","246.000","0.40","201904502083","2026-05-07"
"비비고","P123-207020300-0381","비비고 소고기 미역국","씨제이제일제당㈜","즉석식품류","즉석조리식품","100g","19.00","1.60","0.20","326.000","0.14","20020464088202","2026-05-07"
"비비고","P123-207020300-0382","비비고 소고기무국","씨제이제일제당㈜","즉석식품류","즉석조리식품","100g","12.00","1.20","0.80","292.000","0.00","20020464088223","2026-05-07"
"비비고","P123-207020300-3910","비비고 소고기미역국","씨제이제일제당(주) 진천 BLOSSOM CAMPUS 3동","즉석식품류","즉석조리식품","100g","19.00","1.60","0.20","326.000","0.14","2019045020831","2026-05-07"
"비비고","P123-205020300-0602","비비고 소고기야채죽","씨제이제일제당(주) 진천 BLOSSOM CAMPUS 3동","즉석식품류","즉석조리식품","100g","54.00","2.14","0.27","193.000","0.00","2019045020824","2026-05-07"
"비비고","P123-207020300-0383","비비고 소고기장터국","씨제이제일제당㈜","즉석식품류","즉석조리식품","100g","26.00","2.00","0.40","422.000","0.38","20020464088224","2026-05-07"
"비비고","P123-302030100-0316","비비고 수제진한김치만두","씨제이제일제당㈜","즉석식품류","만두","100g","160.000","7.00","4.00","410.000","1.80","19870190051629","2026-05-07"
"비비고","P106-001000100-0559","비비고 순두부","㈜맑은식품","두부류 또는 묵류","두부","100g","51.00","4.20","0.60","2.00","0.40","20060445211128","2026-05-07"
"비비고","P120-107060000-0006","비비고 순살 고등어구이","씨제이씨푸드(주)","수산가공식품류","해당없음","100g","283.000","16.67","0.00","617.000","5.33","19870275001582","2026-07-13"
"비비고","P120-600060000-0269","비비고 순살 임연수구이","씨제이씨푸드(주)","수산가공식품류","해당없음","100g","117.000","21.67","0.00","633.000","0.00","19870275001638","2026-05-07"
"비비고","P123-207020300-4146","비비고 순살갈비탕","㈜ 교동식품","즉석식품류","즉석조리식품","100g","21.00","2.50","0.00","220.000","0.48","19970440082278","2026-05-14"
"비비고","P123-207020300-1342","비비고 순살감자탕","씨제이제일제당㈜","즉석식품류","즉석조리식품","100g","56.00","4.71","0.14","320.000","1.00","199804430142072","2026-05-07"
"비비고","P101-433000400-0160","비비고 슈크림 붕어빵(bibigo BUNG O PANG Sweet Custard Cream Waffle)","㈜ 원일에프앤에프","과자류·빵류 또는 떡류","빵류","100g","274.000","2.38","15.48","250.000","2.38","20090445189231","2026-05-07"
"비비고","P120-401040000-0429","비비고 스낵김 불고기맛","씨제이씨푸드(주)","수산가공식품류","해당없음","100g","600.000","19.00","0.00","1,300.000","0.00","20040358062219","2026-05-07"
"비비고","P120-401040000-0430","비비고 스낵김 불닭맛","씨제이씨푸드(주)","수산가공식품류","해당없음","100g","600.000","20.00","0.00","1,200.000","0.00","20040358062220","2026-05-07"
"비비고","P120-401040000-0431","비비고 스낵김 와사비맛","씨제이씨푸드(주)","수산가공식품류","해당없음","100g","600.000","18.60","0.00","1,600.000","0.00","20040358062218","2026-05-07"
"비비고","P120-401040000-0432","비비고 스낵김 참기름","씨제이씨푸드(주)","수산가공식품류","해당없음","100g","600.000","20.00","0.00","1,000.000","0.00","20040358062221","2026-05-07"
"비비고","P123-203020300-0403","비비고 스파이시불고기맛 김밥","(주)광천다솔김 제2공장","즉석식품류","즉석조리식품","100g","152.000","5.52","2.83","419.000","0.50","2024072010519","2026-05-07"
"비비고","P123-208020300-0160","비비고 스팸부대찌개","㈜성보","즉석식품류","즉석조리식품","100g","64.00","2.83","1.52","470.000","1.52","20130443168776","2026-05-07"
"비비고","P123-208020300-0485","비비고 스팸사골부대찌개","태원식품산업㈜","즉석식품류","즉석조리식품","100g","77.00","4.64","0.65","400.000","2.40","1985031100113379","2026-05-14"
"비비고","P123-207020300-0384","비비고 시래기감자탕","씨제이제일제당㈜","즉석식품류","즉석조리식품","100g","57.00","6.52","0.16","285.000","0.37","20020464088322","2026-05-07"
"비비고","P108-013000200-0008","비비고 시원바지락칼국수","씨제이제일제당㈜ 남원공장","면류","숙면","100g","117.000","3.74","0.93","576.000","0.00","19910492029856","2026-05-07"
"비비고","P123-203020300-0487","비비고 식물성 불고기 김밥","(주)광천다솔김 제2공장","즉석식품류","즉석조리식품","100g","159.000","5.19","2.53","340.000","1.06","2024072010522","2026-05-07"
"비비고","P123-203020300-0488","비비고 식물성 제육 김밥","(주)광천다솔김 제2공장","즉석식품류","즉석조리식품","100g","152.000","5.52","2.83","419.000","0.50","2024072010523","2026-05-07"
"비비고","P123-217020300-0244","비비고 쌀떡볶이","씨제이제일제당㈜","즉석식품류","즉석조리식품","100g","146.000","2.96","8.70","395.000","0.17","199804430142073","2026-05-07"
"비비고","P114-101010200-0030","비비고 썰은 배추김치","씨제이제일제당(주)진천 BLOSSOM CAMPUS 4동/ 한국농협김치조합공동사업법인 화성지사/ 한국농협김치조합공동사업법인 파주지사","절임류 또는 조림류","김치","100g","30.00","2.00","3.00","580.000","0.00","201904502073/19950364034350/19930355041181","2026-05-07"
"비비고","P114-101010200-1771","비비고 썰은 배추김치","씨제이제일제당(주)진천 BLOSSOM CAMPUS 4동","절임류 또는 조림류","김치","100g","30.00","2.00","3.00","638.000","0.00","2024_RD_10443","2026-06-01"
"비비고","P114-101010200-0031","비비고 썰은 배추김치 더 풍부한 맛","씨제이제일제당(주)진천 BLOSSOM CAMPUS 4동/ 한국농협김치조합공동사업법인 화성지사/ 한국농협김치조합공동사업법인 파주지사","절임류 또는 조림류","김치","100g","30.00","2.00","3.00","650.000","0.00","2019045020723/19950364034364/19930355041186","2026-05-07"
"비비고","P114-101010200-1726","비비고 썰은 포기김치","주식회사기호식품","절임류 또는 조림류","김치","100g","35.00","2.00","4.00","690.000","0.00","20230377166145","2026-05-14"
"비비고","P101-417000400-0163","비비고 씨앗호떡","㈜ 원일에프앤에프","과자류·빵류 또는 떡류","빵류","100g","320.000","6.00","18.00","200.000","1.60","20090445189226","2026-05-07"
"비비고","P117-800080000-0104","비비고 안동식간장찜닭","잇츠올레(주)","식육가공품 및 포장육","해당없음","100g","99.00","7.86","1.86","276.000","0.70","20190389105190","2026-05-07"
"비비고","P123-302030100-2471","비비고 야채물만두(bibigo minimandu)","주식회사 푸드웨어","즉석식품류","만두","100g","160.000","5.00","3.00","450.000","0.60","20030493186671","2026-05-07"
"비비고","P123-207020300-1343","비비고 양지육개장","㈜ 정다운 자연일가","즉석식품류","즉석조리식품","100g","42.00","2.60","0.48","373.000","0.87","201903710217","2026-05-07"
"비비고","P123-207020300-2403","비비고 양지육개장","씨제이제일제당㈜","즉석식품류","즉석조리식품","100g","41.00","2.57","0.86","457.000","0.86","199804430142113","2026-05-07"
"비비고","P108-013000200-0009","비비고 얼큰버섯칼국수","씨제이제일제당㈜","면류","숙면","100g","131.000","3.80","1.90","544.000","0.95","19910492029825","2026-05-07"
"비비고","P120-111060000-0137","비비고 연어 스테이크","씨제이씨푸드(주)","수산가공식품류","해당없음","100g","267.000","18.33","0.00","467.000","4.00","19870275001662","2026-05-07"
"비비고","P114-103010200-0666","비비고 열무김치","씨제이제일제당(주)진천 BLOSSOM CAMPUS 4동","절임류 또는 조림류","김치","100g","33.00","2.10","1.90","649.000","0.00","2024_RD_10444","2026-06-01"
"비비고","P123-215020300-0104","비비고 오징어튀김","농업회사법인 지엔티 주식회사","즉석식품류","즉석조리식품","100g","265.000","12.00","0.00","540.000","2.40","20110360061152","2026-05-07"
"비비고","P120-401040000-0598","비비고 올리브유 돌김","씨제이씨푸드(주)","수산가공식품류","해당없음","100g","630.000","18.00","0.00","2,100.000","4.40","20040358062131","2026-05-07"
"비비고","P123-302030100-0317","비비고 왕교자","씨제이제일제당㈜","즉석식품류","만두","100g","190.000","7.00","2.00","340.000","3.10","19870190051605","2026-05-07"
"비비고","P123-302030100-0822","비비고 왕만두","씨제이제일제당㈜ 남원공장","즉석식품류","만두","100g","195.000","8.00","3.00","440.000","2.30","19910492029231","2026-05-07"
"비비고","P123-302030100-1430","비비고 우리쌀만두","주식회사 푸드웨어","즉석식품류","만두","100g","223.000","6.42","3.70","467.000","2.96","20030493186602","2026-05-07"
"비비고","P123-207020300-0385","비비고 육개장","씨제이제일제당㈜ ㈜ 교동식품","즉석식품류","즉석조리식품","100g","30.00","2.40","1.00","406.000","0.26","20020464088199/19970440082594","2026-05-07"
"비비고","P123-302030100-1804","비비고 육즙불고기 찐만두","주식회사 푸드웨어","즉석식품류","만두","100g","202.000","6.55","5.95","333.000","2.92","20030493186604","2026-05-07"
"비비고","P123-302030100-2058","비비고 육즙불고기 찐만두(bibigo Bulgogi Steamed Mandu)","주식회사 푸드웨어","즉석식품류","만두","100g","202.000","6.55","5.95","333.000","2.92","20030493186648","2026-05-07"
"비비고","P120-100060000-0018","비비고 임연수구이","씨제이씨푸드(주)","수산가공식품류","해당없음","100g","155.000","20.00","0.00","517.000","2.17","19870275001549","2026-05-07"
"비비고","P108-006000200-0096","비비고 잡채","씨제이제일제당㈜ 남원공장","면류","숙면","100g","120.000","0.82","3.00","370.000","0.30","19910492029837","2026-05-07"
"비비고","P123-207020300-1662","비비고 저나트륨 한우사골곰탕","씨제이제일제당㈜","즉석식품류","즉석조리식품","100g","15.00","0.88","0.18","98.00","0.65","199804430142090","2026-05-07"
"비비고","P123-205020300-0604","비비고 전복내장죽","씨제이제일제당㈜","즉석식품류","즉석조리식품","100g","55.00","1.43","0.18","205.000","0.14","19910144038821","2026-05-07"
"비비고","P123-207020300-0386","비비고 전복미역국","씨제이제일제당㈜","즉석식품류","즉석조리식품","100g","12.00","1.09","0.00","328.000","0.00","20020464088359","2026-05-07"
"비비고","P123-205020300-0605","비비고 전복버섯죽","씨제이제일제당(주) 진천 BLOSSOM CAMPUS 3동","즉석식품류","즉석조리식품","100g","54.00","1.79","0.00","196.000","0.21","2019045020822","2026-05-07"
"비비고","P123-205020300-0606","비비고 전복삼계죽","씨제이제일제당(주) 진천 BLOSSOM CAMPUS 3동","즉석식품류","즉석조리식품","100g","51.00","2.62","0.24","179.000","0.00","2019045020821","2026-05-07"
"비비고","P123-203020300-0317","비비고 제육볶음맛 김밥","농업회사법인 주식회사 한우물","즉석식품류","즉석조리식품","100g","83.00","2.61","2.17","96.00","0.44","200804930741441","2026-05-07"
"비비고","P120-401040000-0599","비비고 죽염돌김","씨제이씨푸드(주)","수산가공식품류","해당없음","100g","630.000","20.00","0.00","1,980.000","4.00","20040358062144","2026-05-07"
"비비고","P117-800080000-0171","비비고 직화식제육볶음","씨제이제일제당㈜","식육가공품 및 포장육","해당없음","100g","270.000","11.00","7.50","540.000","7.00","199804430142127","2026-05-07"
"비비고","P123-207020300-0387","비비고 진국설렁탕","씨제이제일제당㈜","즉석식품류","즉석조리식품","100g","28.00","4.80","0.00","144.000","0.16","20020464088347","2026-05-07"
"비비고","P123-207020300-2404","비비고 진한 한우사골곰탕","씨제이제일제당㈜","즉석식품류","즉석조리식품","100g","13.00","1.05","0.00","88.00","0.32","199804430142117","2026-05-07"
"비비고","P108-013000200-0010","비비고 진한교자칼국수","씨제이제일제당㈜","면류","숙면","100g","117.000","3.49","1.59","454.000","0.00","19910492029824","2026-05-07"
"비비고","P123-207020300-3130","비비고 진한소고기미역국","씨제이제일제당(주) 진천 BLOSSOM CAMPUS 3동","즉석식품류","즉석조리식품","100g","23.00","1.60","0.00","328.000","0.22","20190450208137","2026-05-07"
"비비고","P123-302030100-0318","비비고 찐만두","씨제이제일제당㈜","즉석식품류","만두","100g","193.000","5.95","2.38","304.000","4.17","19870190051553","2026-05-07"
"비비고","P123-302030100-2257","비비고 찐만두","주식회사 푸드웨어","즉석식품류","만두","100g","217.000","5.36","2.98","369.000","4.17","20030493186650","2026-05-07"
"비비고","P123-302030100-3297","비비고 찐만두","씨제이제일제당㈜","즉석식품류","만두","100g","193.000","5.95","2.38","304.000","4.17","2024_RD_10445","2026-06-01"
"비비고","P114-101010200-1877","비비고 차가네 매운김치","씨제이제일제당(주)진천 BLOSSOM CAMPUS 4동","절임류 또는 조림류","김치","100g","40.00","2.00","3.00","820.000","0.00","2019045020765","2026-06-01"
"비비고","P123-208020300-0161","비비고 차돌된장찌개","씨제이제일제당㈜","즉석식품류","즉석조리식품","100g","57.00","4.13","1.30","428.000","0.37","20020464088257","2026-05-07"
"비비고","P123-207020300-0388","비비고 차돌육개장","씨제이제일제당㈜","즉석식품류","즉석조리식품","100g","43.00","3.60","0.40","298.000","0.24","20020464088342","2026-05-07"
"비비고","P123-302030100-0319","비비고 찰보리 감자만두","주식회사 푸드웨어","즉석식품류","만두","100g","210.000","4.50","2.50","398.000","4.00","20030493186352","2026-05-07"
"비비고","P120-401040000-0600","비비고 참기름김","씨제이씨푸드(주)","수산가공식품류","해당없음","100g","625.000","25.00","0.00","2,500.000","0.00","20040358062212","2026-05-07"
"비비고","P123-302030100-3044","비비고 채소가득고기만두 고기&꽈리고추","주식회사 푸드웨어","즉석식품류","만두","100g","173.000","8.25","3.00","390.000","3.25","20030493186683","2026-05-07"
"비비고","P123-302030100-3045","비비고 채소가득고기만두 고기&양배추","주식회사 푸드웨어","즉석식품류","만두","100g","154.000","7.75","3.50","385.000","3.00","20030493186684","2026-05-07"
"비비고","P123-302030100-3328","비비고 채소가득김치만두 김치&갓","주식회사 푸드웨어","즉석식품류","만두","100g","173.000","8.00","4.00","455.000","3.00","20030493186682","2026-06-01"
"비비고","P123-302030100-0320","비비고 청양고추 찐만두","씨제이제일제당㈜","즉석식품류","만두","100g","167.000","5.95","2.38","357.000","2.20","19870190051554","2026-05-07"
"비비고","P123-302030100-1805","비비고 청양고추 찐만두","주식회사 푸드웨어","즉석식품류","만두","100g","176.000","5.95","3.57","339.000","2.20","20030493186605","2026-05-07"
"비비고","P101-433000400-0161","비비고 초당옥수수 붕어빵(bibigo BUNG O PANG Sweet Corn Cream Waffle)","㈜ 원일에프앤에프","과자류·빵류 또는 떡류","빵류","100g","262.000","2.38","13.10","310.000","2.38","20090445189236","2026-05-07"
"비비고","P120-401040000-0297","비비고 초사리 곱창돌김","삼해상사(주) 김포공장","수산가공식품류","해당없음","100g","585.000","20.00","0.00","1,240.000","7.00","20180378780113","2026-05-07"
"비비고","P120-401040000-0601","비비고 초사리 곱창돌김","씨제이씨푸드(주)","수산가공식품류","해당없음","100g","580.000","20.00","0.00","1,240.000","6.80","20040358062225","2026-05-07"
"비비고","P120-401040000-0602","비비고 초사리 곱창돌김 구운생김","씨제이씨푸드(주)","수산가공식품류","해당없음","100g","367.000","40.00","0.00","767.000","0.00","20040358062227","2026-05-07"
"비비고","P101-433000400-0162","비비고 초코 붕어빵(bibigo BUNG O PANG SWEET CHOCOLATE&CREAM WAFFLE)","㈜ 원일에프앤에프","과자류·빵류 또는 떡류","빵류","100g","326.000","3.50","22.70","235.000","3.30","20090445189241","2026-05-07"
"비비고","P114-103010200-0667","비비고 총각김치","씨제이제일제당(주)진천 BLOSSOM CAMPUS 4동","절임류 또는 조림류","김치","100g","41.00","2.09","4.36","668.000","0.00","2024_RD_10446","2026-06-01"
"비비고","P117-800080000-0105","비비고 춘천식 철판닭갈비","잇츠올레(주)","식육가공품 및 포장육","해당없음","100g","125.000","7.29","3.57","384.000","1.29","20190389105189","2026-05-07"
"비비고","P101-501000500-1353","비비고 치즈 떡볶이","(주)덕산식품","과자류·빵류 또는 떡류","떡류","100g","265.000","4.70","7.20","700.000","2.60","19920444004315","2026-05-07"
"비비고","P101-501000500-1354","비비고 치즈 컵떡볶이","(주)덕산식품","과자류·빵류 또는 떡류","떡류","100g","259.000","4.44","6.02","556.000","2.04","19920444004318","2026-05-07"
"비비고","P101-501000500-1801","비비고 치즈맛 떡볶이 용기형(bibigo tteokbokki rice cake with cheese flavored sauce)","(주)덕산식품","과자류·빵류 또는 떡류","떡류","100g","264.000","4.80","6.40","544.000","1.60","19920444004321","2026-05-07"
"비비고","P101-501000500-1802","비비고 치즈맛 컵떡볶이","(주)덕산식품","과자류·빵류 또는 떡류","떡류","100g","259.000","4.44","6.02","556.000","2.04","19920444004320","2026-05-07"
"비비고","P101-501000500-1355","비비고 컵떡볶이","(주)덕산식품","과자류·빵류 또는 떡류","떡류","100g","259.000","4.18","8.46","636.000","0.46","19920444004316","2026-05-07"
"비비고","P123-207020300-0389","비비고 콩나물황태국","씨제이제일제당㈜","즉석식품류","즉석조리식품","100g","15.00","2.40","0.60","322.000","0.00","20020464088283","2026-05-07"
"비비고","P123-205020300-0608","비비고 통단팥죽","씨제이제일제당(주) 진천 BLOSSOM CAMPUS 3동","즉석식품류","즉석조리식품","100g","91.00","2.86","7.50","193.000","0.00","201904502088","2026-05-07"
"비비고","P123-208020300-0955","비비고 통목살김치찌개","씨제이제일제당㈜","즉석식품류","즉석조리식품","100g","62.00","4.60","1.60","460.000","1.20","199804430142130","2026-05-07"
"비비고","P123-302030100-2640","비비고 통새우만두","CJCAUTREFOODSJOINTSTOCKCOMPANY-LONGANBRANCH","즉석식품류","만두","100g","158.000","6.00","2.50","560.000","1.05","23VN99600D9","2026-05-07"
"비비고","P123-302030100-3329","비비고 통새우만두 800g","CJCAUTREFOODSJOINTSTOCKCOMPANY-LONGANBRANCH","즉석식품류","만두","100g","170.000","6.50","2.00","360.000","1.10","23VN99600D9","2026-06-01"
"비비고","P123-302030100-2787","비비고 통오징어만두","CJCAUTREFOODSJOINTSTOCKCOMPANY-LONGANBRANCH","즉석식품류","만두","100g","310.000","17.00","3.00","1,120.000","1.40","24VN22J00D4","2026-05-07"
"비비고","P123-302030100-2788","비비고 통오징어만두 200g","CJCAUTREFOODSJOINTSTOCKCOMPANY-LONGANBRANCH","즉석식품류","만두","100g","295.000","18.00","5.00","910.000","1.50","25VN0MF00D0","2026-05-07"
"비비고","P117-700060000-0042","비비고 특설렁탕","㈜참프레","식육가공품 및 포장육","해당없음","100g","23.00","3.14","0.11","224.000","0.39","20130476004529","2026-05-07"
"비비고","P120-600060000-2787","비비고 틸라피아 스테이크","씨제이씨푸드주식회사","수산가공식품류","해당없음","100g","114.000","20.00","0.00","357.000","1.43","19870275001665","2026-05-14"
"비비고","P114-103010200-0668","비비고 파김치","한국농협김치조합공동사업법인파주지사","절임류 또는 조림류","김치","100g","44.00","2.52","4.19","916.000","0.00","2024_RD_10447","2026-06-01"
"비비고","P120-401040000-1148","비비고 파래곱창돌김","씨제이씨푸드(주)","수산가공식품류","해당없음","100g","600.000","0.00","0.00","100.000","0.00","20040358062235","2026-05-07"
"비비고","P114-101010200-0032","비비고 포기 배추김치","씨제이제일제당(주)진천 BLOSSOM CAMPUS 4동/ 한국농협김치조합공동사업법인 화성지사/ 한국농협김치조합공동사업법인 파주지사/ 한국농협김치조합공동사업법인 전북지사","절임류 또는 조림류","김치","100g","30.00","2.00","4.00","670.000","0.00","201904502071/19950364034349/19930355041179/1992049500799","2026-05-07"
"비비고","P114-101010200-1772","비비고 포기 배추김치","씨제이제일제당(주)진천 BLOSSOM CAMPUS 4동","절임류 또는 조림류","김치","100g","30.00","2.00","4.00","670.000","0.00","2024_RD_10448","2026-06-01"
"비비고","P114-101010200-0033","비비고 포기 배추김치 더 풍부한 맛","씨제이제일제당(주)진천 BLOSSOM CAMPUS 4동/ 한국농협김치조합공동사업법인 화성지사무소/ 한국농협김치조합 공동사업법인 파주지사무소","절임류 또는 조림류","김치","100g","30.00","2.00","3.00","650.000","0.00","2019045020719/19950364034366/19930355041185","2026-05-07"
"비비고","P101-416000400-0208","비비고 포테이토 통모짜 핫도그","㈜우양","과자류·빵류 또는 떡류","빵류","100g","267.000","6.67","5.56","444.000","3.89","20210475029237","2026-05-07"
"비비고","P123-302030100-0321","비비고 플랜테이블 김치왕교자","주식회사 푸드웨어","즉석식품류","만두","100g","157.000","7.14","2.62","412.000","0.79","20030493186439","2026-05-07"
"비비고","P123-302030100-1431","비비고 플랜테이블 식물성 김치왕교자","주식회사 푸드웨어","즉석식품류","만두","100g","150.000","7.00","4.00","430.000","0.90","20030493186578","2026-05-07"
"비비고","P116-703070300-0209","비비고 플랜테이블 식물성 떡갈비","씨제이제일제당(주)진천BLOSSOM CAMPUS","농산가공식품류","두류가공품","100g","250.000","10.00","13.00","600.000","12.00","2018045028546","2026-05-07"
"비비고","P123-207020300-1344","비비고 플랜테이블 식물성 미역국","씨제이제일제당㈜","즉석식품류","즉석조리식품","100g","21.00","0.80","0.40","314.000","0.20","199804430142075","2026-05-07"
"비비고","P123-302030100-1432","비비고 플랜테이블 식물성 왕교자","주식회사 푸드웨어","즉석식품류","만두","100g","165.000","7.00","4.00","380.000","1.00","20030493186579","2026-05-07"
"비비고","P123-207020300-1345","비비고 플랜테이블 식물성 육개장","씨제이제일제당㈜","즉석식품류","즉석조리식품","100g","25.00","1.60","0.40","388.000","0.20","199804430142074","2026-05-07"
"비비고","P123-302030100-1433","비비고 플랜테이블 식물성 잡채왕교자","주식회사 푸드웨어","즉석식품류","만두","100g","187.000","4.67","3.33","387.000","1.13","20030493186586","2026-05-07"
"비비고","P123-302030100-0322","비비고 플랜테이블 왕교자","주식회사 푸드웨어","즉석식품류","만두","100g","183.000","6.43","2.14","319.000","1.07","20030493186438","2026-05-07"
"비비고","P123-302030100-2472","비비고 플랜테이블(Plantable) 식물성 물만두","주식회사 푸드웨어","즉석식품류","만두","100g","155.000","5.00","3.00","450.000","0.60","20030493186672","2026-05-07"
"비비고","P120-402040000-0160","비비고 한식 간장 김자반","삼해상사(주)부안2공장","수산가공식품류","해당없음","100g","656.000","13.58","13.58","1,170.000","7.48","2001050104432","2026-05-07"
"비비고","P120-402040000-0161","비비고 한식 간장 김자반","삼해상사㈜부안공장","수산가공식품류","해당없음","100g","656.000","13.58","13.58","1,170.000","7.48","19910501017326","2026-05-07"
"비비고","P123-207020300-0390","비비고 한우사골곰탕","씨제이제일제당㈜","즉석식품류","즉석조리식품","100g","10.00","0.60","0.00","162.000","0.28","20020464088348","2026-05-07"
"비비고","P123-205020300-0609","비비고 한우소고기죽","씨제이제일제당㈜","즉석식품류","즉석조리식품","100g","52.00","2.14","0.48","186.000","0.26","19910144038820","2026-05-07"
"비비고","P123-209020300-0075","비비고 해물파전","주식회사이든에프앤씨","즉석식품류","즉석조리식품","100g","156.000","6.25","2.50","328.000","0.75","20150443038209","2026-05-07"
"비비고","P123-209020300-0243","비비고 해물파전","JWCO.,LTD","즉석식품류","즉석조리식품","100g","270.000","7.00","3.00","640.000","2.90","25VN1KO00D6","2026-05-07"
"비비고","P114-101010200-1727","비비고 황태육수를 넣어 시원한 포기배추김치","한국농협김치조합공동사업법인파주지사","절임류 또는 조림류","김치","100g","40.00","2.00","3.00","650.000","0.00","19930355041180","2026-05-14"
"비비고","P123-205020300-0610","비비고 흑임자죽","씨제이제일제당(주) 진천 BLOSSOM CAMPUS 3동","즉석식품류","즉석조리식품","100g","88.00","2.86","3.57","221.000","0.71","2019045020814","2026-05-07"
"비비고","P123-302030100-0821","비비고 BASIC 365 교자만두","㈜푸르온","즉석식품류","만두","100g","199.000","6.62","3.14","383.000","2.09","19990461386939","2026-05-07"
"비비고","P114-101010200-0507","비비고 BASIC 포기배추김치","한국농협김치조합공동사업법인 화성지사","절임류 또는 조림류","김치","100g","30.00","2.00","2.00","680.000","0.00","19950364034109","2026-05-07"
"비비고","P114-101010200-0508","비비고 BASIC 포기배추김치","한국농협김치조합공동사업법인전북지사","절임류 또는 조림류","김치","100g","35.00","2.00","4.00","620.000","0.00","19920495007109","2026-05-07"
"비비고","P123-302030100-2254","비비고 Soup Mandu Ginger Flavoured Dumplings","주식회사 푸드웨어","즉석식품류","만두","100g","186.000","5.60","1.00","317.000","2.10","20030493186658","2026-05-07"
"비비고","P123-302030100-2255","비비고 Soup Mandu Vegetable Dumplings","주식회사 푸드웨어","즉석식품류","만두","100g","196.000","2.20","1.10","338.000","2.20","20030493186659","2026-05-07"
"비비고","P123-302030100-0323","비비고(bibigo)물만두","씨제이제일제당㈜","즉석식품류","만두","100g","177.000","7.03","2.97","341.000","2.97","19870190051600","2026-05-07"
"비비고","P123-302030100-0324","비비고(bibigo)진한고기만두","씨제이제일제당㈜","즉석식품류","만두","100g","245.000","6.25","2.50","413.000","6.00","19870190051625","2026-05-07"
"비비고","P123-302030100-1434","비비고(bibigo)진한김치만두","씨제이제일제당㈜","즉석식품류","만두","100g","158.000","6.50","4.25","363.000","2.00","19870190051661","2026-05-07"
"비비고","P123-302030100-1806","비비고(bibigo)찐만두","씨제이제일제당㈜","즉석식품류","만두","100g","193.000","5.36","2.98","345.000","4.17","19870190051572","2026-05-07"
"비비고","P123-302030100-3298","비비고(bibigo)찐만두","씨제이제일제당㈜","즉석식품류","만두","100g","193.000","5.36","2.98","345.000","4.17","2024_RD_10449","2026-06-01"
"비비고","P123-201020300-1669","비비고갈릭베이컨볶음밥","씨제이제일제당㈜","즉석식품류","즉석조리식품","100g","168.000","3.90","0.98","322.000","1.07","2018045028572","2026-05-07"
"비비고","P123-302030100-0823","비비고갈비납작교자","씨제이제일제당㈜","즉석식품류","만두","100g","205.000","9.00","3.00","400.000","3.10","19870190051654","2026-05-07"
"비비고","P123-201020300-1670","비비고강된장보리비빔밥","㈜시아스","즉석식품류","즉석조리식품","100g","139.000","2.75","1.96","318.000","0.78","200504150202979","2026-05-07"
"비비고","P123-210020300-0063","비비고고등어시래기조림","씨제이제일제당㈜","즉석식품류","즉석조리식품","100g","188.000","11.25","5.63","831.000","3.13","19910144038747","2026-05-07"
"비비고","P123-201020300-1672","비비고곤드레나물밥","㈜시아스","즉석식품류","즉석조리식품","100g","167.000","2.78","1.39","347.000","0.69","200504150202060","2026-05-07"
"비비고","P123-201020300-1673","비비고곤드레나물밥I","씨제이제일제당㈜","즉석식품류","즉석조리식품","100g","167.000","2.78","1.39","347.000","0.69","2018045028565","2026-05-07"
"비비고","P123-302030100-0325","비비고군만두","씨제이제일제당㈜","즉석식품류","만두","100g","204.000","6.22","2.89","293.000","3.33","19870190051519","2026-05-07"
"비비고","P123-302030100-3299","비비고군만두","씨제이제일제당㈜","즉석식품류","만두","100g","204.000","6.22","2.89","293.000","3.33","2024_RD_10450","2026-06-01"
"비비고","P123-215020300-0168","비비고김말이 야채맛","(주)씨엔에스푸드시스템","즉석식품류","즉석조리식품","100g","176.000","1.18","2.35","412.000","1.18","20030435223330","2026-05-07"
"비비고","P101-104000100-0103","비비고김스낵바베큐맛","씨제이씨푸드(주)","과자류·빵류 또는 떡류","과자","100g","422.000","2.78","5.56","1,100.000","2.78","20040358062162","2026-05-07"
"비비고","P101-104000100-0104","비비고김스낵오리지널","씨제이씨푸드(주)","과자류·빵류 또는 떡류","과자","100g","425.000","2.78","8.33","1,081.000","2.78","20040358062159","2026-05-07"
